fixture_id,rule_id,case_type,applicability,input_state,expected_result,allowed_output,forbidden_output
G1-P,GATE-001,positive,ALL,"HTTP 200; DOM完整; 无WAF; 关键脚本已完成",PASS,"ACCESS_OK","AUDIT_INCOMPLETE"
G1-N,GATE-001,negative,ALL,"HTTP 429",AUDIT_INCOMPLETE,"ACCESS_RATE_LIMITED","页面缺少价格/政策/内容"
G1-E,GATE-001,edge,ALL,"HTTP 200但关键JS失败; 价格/CTA未渲染",AUDIT_INCOMPLETE,"ACCESS_JS_INCOMPLETE","价格缺失/CTA缺失Issue"
G2-P,GATE-002,positive,ALL,"final_url/region/currency/viewport/timestamp均记录",PASS,"上下文完整","CONTEXT_INSUFFICIENT"
G2-N,GATE-002,negative,INTERNATIONAL,"发生国家跳转但region/currency未知",CONTEXT_INSUFFICIENT,"上下文不足","直接判断配送/价格Issue"
G2-E,GATE-002,edge,INTERNATIONAL,".com跳转/uk; GBP; region=UK已记录",PASS,"ACCESS_OK_WITH_GEO_CONTEXT","用US规则评价UK页面"
C1-P,CORE-001,positive,CORE_PAGE,"产品页HTTP 200且正常DOM",PASS,"页面可访问","页面错误"
C1-N,CORE-001,negative,CORE_PAGE,"产品页稳定HTTP 500",ISSUE,"关键商业页面不可访问","这是销量低的根因"
C1-E,CORE-001,edge,LOGIN_REQUIRED,"账户页401且页面本就需登录",NOT_APPLICABLE,"受保护页面","关键商业页故障"
C2-P,CORE-002,positive,DIRECT_PURCHASE,"in-stock; CTA点击后加入购物车",PASS,"购买动作可操作","无"
C2-N,CORE-002,negative,DIRECT_PURCHASE,"in-stock; 必选项已选; CTA点击无响应且无状态变化",ISSUE,"购买动作在测试状态不可操作","因此损失X%订单"
C2-E,CORE-002,edge,OUT_OF_STOCK,"缺货商品CTA disabled并明确Out of stock",NOT_APPLICABLE,"当前不可购买状态","CTA失效Issue"
C3-P,CORE-003,positive,MOBILE,"390px视口; CTA可见可点; 无持续遮挡",PASS,"移动核心任务未阻断","移动体验完美"
